,Labs,Energy,Standardized
45,403,9295059.396510001,9.295059396510002
13,233,9003410.39421,9.00341039421
34,327,8579809.16622,8.57980916622
42,360b,8477474.857020002,8.477474857020002
11,227,8427447.11646,8.42744711646
51,418,8335729.692450001,8.33572969245
25,303,8295049.830330001,8.29504983033
28,309b,8135968.87296,8.13596887296
46,403b,8125693.8809400005,8.12569388094
44,367b,8082383.41584,8.08238341584
33,321b,8051437.221930001,8.051437221930001
9,221,7968553.63929,7.9685536392900005
57,441,7931320.600950001,7.931320600950001
12,227b,7872314.984280001,7.872314984280002
18,253b,7834741.59636,7.83474159636
32,321,7830482.49027,7.83048249027
37,333b,7819125.942510001,7.819125942510001
1,141,7707239.866800001,7.707239866800001
49,417,7679340.27864,7.67934027864
14,233b,7669114.87212,7.669114872120001
15,241,7659607.965840001,7.65960796584
62,453b,7626419.662770001,7.626419662770001
20,257b,7605956.0876400005,7.60595608764
64,457b,7576341.272910001,7.576341272910001
8,217b,7567544.767140001,7.567544767140001
61,453,7548012.88614,7.54801288614
24,267b,7520159.988,7.520159988
48,409b,7477103.612610001,7.4771036126100014
31,318,7461794.099340001,7.461794099340001
53,421b,7408055.15748,7.40805515748
38,341,7389466.0959600005,7.3894660959600005
36,333,7387892.876160001,7.387892876160001
35,327b,7376042.462490001,7.376042462490001
59,445,7363789.74639,7.36378974639
58,441b,7356207.9800700005,7.356207980070001
26,303b,7267630.979430001,7.267630979430002
21,260,7236281.633490001,7.236281633490001
52,421,7197924.97233,7.19792497233
50,417b,7194559.22955,7.19455922955
47,409,7182523.8048600005,7.182523804860001
27,309,7172186.56137,7.17218656137
54,427b,7172166.144780001,7.17216614478
39,341b,7149551.629500001,7.1495516295
60,445b,7139869.938990001,7.13986993899
30,317b,7137346.9447800005,7.137346944780001
17,253,7045954.409880001,7.045954409880001
3,147b,7004518.9155,7.0045189155
6,155,6990804.00738,6.99080400738
63,457,6978936.84588,6.97893684588
40,345,6949921.321260001,6.949921321260001
5,153b,6884443.889370001,6.884443889370001
23,267,6873782.832180001,6.873782832180001
10,221b,6840023.1497100005,6.84002314971
4,153,6763589.40051,6.76358940051
29,317,6670276.42932,6.67027642932
22,260b,6595423.437240001,6.595423437240001
43,367,6566241.17844,6.56624117844
55,433,6505150.636770001,6.505150636770001
16,241b,6503248.1394,6.5032481394
7,160,6406148.84157,6.40614884157
19,257,6002708.5149300005,6.00270851493
2,143,5391770.35815,5.39177035815
0,g54,3898574.9514900004,3.8985749514900006
41,345b,0.0,0.0
56,433b,0.0,0.0
