building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Human Ecology Building,,107,1,biotech_main,,,,
Human Ecology Building,,113,1,biotech_main,,,,
Human Ecology Building,,113,1,biotech_main,,,,
Human Ecology Building,,113,1,biotech_main,,,,
Human Ecology Building,,113,1,biotech_main,,,,
Human Ecology Building,,113,1,biotech_main,,,,
Human Ecology Building,,113,1,biotech_main,,,,
Human Ecology Building,,119,1,biotech_main,,,,
Human Ecology Building,,141,1,biotech_main,,,,
Human Ecology Building,,141,1,biotech_main,,,,
Human Ecology Building,,146,1,biotech_main,,,,
Human Ecology Building,,151,1,biotech_main,,,,
Human Ecology Building,,151,1,biotech_main,,,,
Human Ecology Building,,151,1,biotech_main,,,,
Human Ecology Building,,155,1,biotech_main,,,,
Human Ecology Building,,155,1,biotech_main,,,,
Human Ecology Building,,155,1,biotech_main,,,,
Human Ecology Building,,207,2,biotech_main,,,,
Human Ecology Building,,207,2,biotech_main,,,,
Human Ecology Building,,207,2,biotech_main,,,,
Human Ecology Building,,213,2,biotech_main,,,,
Human Ecology Building,,213,2,biotech_main,,,,
Human Ecology Building,,213,2,biotech_main,,,,
Human Ecology Building,,218,2,biotech_main,,,,
Human Ecology Building,,218,2,biotech_main,,,,
Human Ecology Building,,219,2,biotech_main,,,,
Human Ecology Building,,219,2,biotech_main,,,,
Human Ecology Building,,219,2,biotech_main,,,,
Human Ecology Building,,221,2,biotech_main,,,,
Human Ecology Building,,221,2,biotech_main,,,,
Human Ecology Building,,221,2,biotech_main,,,,
Human Ecology Building,,245,2,biotech_main,,,,
Human Ecology Building,,251,2,biotech_main,,,,
Human Ecology Building,,256,2,biotech_main,,,,
Human Ecology Building,,259,2,biotech_main,,,,
Human Ecology Building,,259,2,biotech_main,,,,
Human Ecology Building,,259,2,biotech_main,,,,
